CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
8,Austria,AUT,Western Europe,0.542763157894737,0.5135135135135136,0.2841225626740948
15,Belgium,BEL,Western Europe,0.48026315789473656,0.47297297297297314,0.15320334261838442
45,Denmark,DNK,Western Europe,0.5690789473684212,0.5112612612612614,0.4150417827298052
57,Finland,FIN,Western Europe,0.5592105263157893,0.5180180180180181,0.36490250696378856
58,France,FRA,Western Europe,0.3914473684210525,0.38738738738738737,0.05571030640668524
62,Germany,DEU,Western Europe,0.5592105263157893,0.5135135135135136,0.3259052924791087
73,Iceland,ISL,Western Europe,0.5197368421052632,0.47522522522522537,0.426183844011142
78,Ireland,IRL,Western Europe,0.5559210526315788,0.43468468468468485,0.5208913649025071
80,Italy,ITA,Western Europe,0.3980263157894734,0.38288288288288297,0.011142061281337207
99,Luxembourg,LUX,Western Europe,0.5690789473684212,0.5157657657657658,0.39275766016713115
107,Malta,MLT,Western Europe,0.5065789473684208,0.40540540540540543,0.18941504178272972
119,Netherlands,NLD,Western Europe,0.5493421052631579,0.5202702702702703,0.4178272980501393
124,Norway,NOR,Western Europe,0.5296052631578946,0.5157657657657658,0.31197771587743744
133,Portugal,PRT,Western Europe,0.4736842105263156,0.4617117117117117,0.09749303621169916
152,Spain,ESP,Western Europe,0.42434210526315763,0.38738738738738737,0.10863509749303638
157,Sweden,SWE,Western Europe,0.5493421052631579,0.5585585585585585,0.3732590529247913
158,Switzerland,CHE,Western Europe,0.6546052631578948,0.5112612612612614,0.5598885793871868
174,United Kingdom,GBR,Western Europe,0.5394736842105265,0.42342342342342343,0.476323119777159
